60,0060,287,Hilo,United States,19.73,-155.07,1/22/2027,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0060.csv
825,0825,284,Cuxhaven,Germany,53.87,8.72,12/29/2017,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0825.csv
130,0130,278,Casey,Australia,-66.283,110.533,1/8/1996,11/16/2008,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0130.csv
173,0173,277,Davis,Australia,-68.58,77.97,4/22/1993,1/28/2010,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0173.csv
801,0801,275,Honningsvag,Norway,70.98,25.98,6/1/1988,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0801.csv
221,0221,268,Simon's Bay (Simonstown),South Africa,-34.183,18.433,4/24/1959,5/31/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0221.csv
316,0316,267,Acapulco,Mexico,16.833,-99.917,5/24/2007,4/25/2011,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0316.csv
292,0292,264,St. Helena (Jamestown Landing),United Kingdom,-15.94,-5.67,1/24/2011,2/26/2013,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0292.csv
291,0291,263,Ascension (English Bay),United Kingdom,-7.92,-14.33,5/23/1993,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0291.csv
234,0234,261,Pointe Noire (Pointe-Noire),Congo,-4.783,11.833,9/10/2008,6/29/2014,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0234.csv
225,0225,260,Sao Tome,Sao Tome and Principe,0.348,6.737,8/27/2004,8/9/2010,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0225.csv
233,0233,259,Lagos,Nigeria,6.417,3.45,11/1/2008,4/17/2009,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0233.csv
223,0223,253,Dakar,Senegal,14.633,-17.45,1/1/1996,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0223.csv
217,0217,251,Las Palmas (Puerto de la Luz),Spain,28.13,-15.42,5/7/1991,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0217.csv
218,0218,250,Funchal,Portugal,32.633,-16.9,10/6/1976,12/31/2012,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0218.csv
207,0207,249,Ceuta,Spain,35.9,-5.317,3/1/1944,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0207.csv
289,0289,248,Gibraltar,United Kingdom,36.13,-5.35,7/1/1961,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0289.csv
209,0209,246,Cascais,Portugal,38.69,-9.42,11/6/2008,9/16/2015,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0209.csv
211,0211,245,Ponta Delgada,Portugal,37.73,-25.68,5/19/1978,4/30/2016,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0211.csv
