UH_ID,UH_ID_4Digit,GLOSS_ID,Location,Country,Latitude,Longitude,Start,End,
162,0162,291,Cilacap (Cillcap),Indonesia,-7.75,109,02/20/07,03/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0162.csv
253,0253,290,Newport,United States,41.51,-71.333,09/10/30,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0253.csv
752,0752,289,Fort Pulaski,United States,32.033,-80.902,07/01/35,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0752.csv
762,0762,288,Pensacola,United States,30.403,-87.212,05/01/23,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0762.csv
60,0060,287,Hilo,United States,19.73,-155.07,01/22/27,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0060.csv
825,0825,284,Cuxhaven,Germany,53.87,8.72,12/29/17,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0825.csv
130,0130,278,Casey,Australia,-66.283,110.533,01/08/96,11/16/08,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0130.csv
173,0173,277,Davis,Australia,-68.58,77.97,04/22/93,01/28/10,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0173.csv
801,0801,275,Honningsvag,Norway,70.98,25.98,06/01/88,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0801.csv
221,0221,268,Simon's Bay (Simonstown),South Africa,-34.183,18.433,04/24/59,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0221.csv
316,0316,267,Acapulco,Mexico,16.833,-99.917,05/24/07,04/25/11,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0316.csv
292,0292,264,St. Helena (Jamestown Landing),United Kingdom,-15.94,-5.67,01/24/11,02/26/13,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0292.csv
291,0291,263,Ascension (English Bay),United Kingdom,-7.92,-14.33,05/23/93,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0291.csv
234,0234,261,Pointe Noire (Pointe-Noire),Congo,-4.783,11.833,09/10/08,06/29/14,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0234.csv
